latency_buy,buy_price,buy_hsc,buy_bid,buy_ask,latency_close,close_price,close_hsc,close_bid,close_ask
0.3293919563293457,1.18939,10.8762,1.18923,1.18939,0.3264460563659668,1.18923,10.8762,1.18923,1.18939
0.3470468521118164,1.18946,10.8760,1.18930,1.18946,0.44796109199523926,1.18930,10.8760,1.18930,1.18946
0.3678410053253174,1.18941,10.1963,1.18926,1.18941,0.3341081142425537,1.18927,10.8761,1.18927,1.18943
0.317594051361084,1.18945,10.1962,1.18930,1.18945,0.32750988006591797,1.18930,9.5165,1.18930,1.18944
0.35283899307250977,1.18944,9.5165,1.18930,1.18944,0.3219428062438965,1.18930,9.5165,1.18930,1.18944
0.48111391067504883,1.18945,9.5164,1.18931,1.18945,0.32306504249572754,1.18931,9.5164,1.18931,1.18945
0.3499720096588135,1.18946,10.1960,1.18931,1.18946,0.34613990783691406,1.18931,10.1960,1.18931,1.18946
0.3182220458984375,1.18944,9.5162,1.18930,1.18944,0.3117339611053467,1.18930,9.5164,1.18930,1.18944
0.3636319637298584,1.18947,9.5166,1.18933,1.18947,0.3397200107574463,1.18934,9.5166,1.18934,1.18948
0.30195093154907227,1.18959,10.1960,1.18944,1.18959,0.31244516372680664,1.18944,10.1960,1.18944,1.18959
0.32287096977233887,1.18960,10.1960,1.18945,1.18960,0.3187119960784912,1.18946,10.8757,1.18946,1.18962
0.33397507667541504,1.18961,10.8755,1.18945,1.18961,0.32358598709106445,1.18946,10.8755,1.18946,1.18962
0.33016204833984375,1.18961,10.8755,1.18945,1.18961,0.3404390811920166,1.18946,10.8757,1.18946,1.18962
0.4640388488769531,1.18964,10.1958,1.18949,1.18964,0.3095409870147705,1.18954,8.8362,1.18954,1.18967
0.33370304107666016,1.18970,10.8755,1.18954,1.18970,0.32263779640197754,1.18955,8.8364,1.18955,1.18968
0.34412312507629395,1.18970,12.9149,1.18951,1.18970,0.36946797370910645,1.18953,11.5554,1.18953,1.18970
0.3447229862213135,1.18981,10.8754,1.18965,1.18981,0.3311581611633301,1.18965,10.8752,1.18965,1.18981
0.5085041522979736,1.18982,11.5549,1.18965,1.18982,0.330258846282959,1.18965,11.5549,1.18965,1.18982
0.3289191722869873,1.18982,11.5549,1.18965,1.18982,0.44101500511169434,1.18965,10.1956,1.18965,1.18980
0.40624308586120605,1.18981,10.8752,1.18965,1.18981,0.3600490093231201,1.18965,10.8752,1.18965,1.18981
0.3340010643005371,1.18985,9.5159,1.18971,1.18985,0.33653807640075684,1.18971,9.5159,1.18971,1.18985
0.36901187896728516,1.18989,10.8752,1.18973,1.18989,0.3654820919036865,1.18974,10.8751,1.18974,1.18990
0.33828210830688477,1.18989,10.1954,1.18974,1.18989,0.34096503257751465,1.18974,10.1954,1.18974,1.18989
0.3151509761810303,1.18989,10.1954,1.18974,1.18989,0.35550785064697266,1.18974,10.1954,1.18974,1.18989
0.3143928050994873,1.18989,10.1954,1.18974,1.18989,0.323106050491333,1.18974,10.1954,1.18974,1.18989
0.3502509593963623,1.18989,10.1954,1.18974,1.18989,0.339447021484375,1.18975,10.8751,1.18975,1.18991
0.3201789855957031,1.18988,9.5155,1.18974,1.18988,0.3873481750488281,1.18975,10.1952,1.18975,1.18990
0.35007286071777344,1.18984,10.1952,1.18969,1.18984,0.3468179702758789,1.18969,10.1952,1.18969,1.18984
0.3446030616760254,1.18990,10.8749,1.18974,1.18990,0.33003807067871094,1.18974,10.8749,1.18974,1.18990
0.33401989936828613,1.18990,10.1952,1.18975,1.18990,0.32361721992492676,1.18975,10.1952,1.18975,1.18990
0.33980703353881836,1.18999,10.1952,1.18984,1.18999,0.32723093032836914,1.18986,12.2342,1.18986,1.19004
0.3465230464935303,1.19001,10.1952,1.18986,1.19001,0.3747739791870117,1.18986,10.1952,1.18986,1.19001
0.35282087326049805,1.19001,10.1952,1.18986,1.19001,0.3363509178161621,1.18986,10.1952,1.18986,1.19001
0.33206701278686523,1.19002,11.5544,1.18985,1.19002,0.32291412353515625,1.18985,11.5544,1.18985,1.19002
0.3594388961791992,1.19001,10.8747,1.18985,1.19001,0.3385300636291504,1.18985,10.8747,1.18985,1.19001
0.32128405570983887,1.19002,10.8747,1.18986,1.19002,0.32654500007629395,1.18986,8.8357,1.18986,1.18999
0.3326261043548584,1.19001,10.1950,1.18986,1.19001,0.3349418640136719,1.18986,10.1950,1.18986,1.19001
0.3290400505065918,1.19001,12.2341,1.18983,1.19001,0.3338000774383545,1.18985,10.8747,1.18985,1.19001
